estimator,prefix_mode,length,auc_pct,num_examples,member_mean_score,nonmember_mean_score,min_score,max_score,model,num_shots,num_samples,tau,gamma,epsilon,embedding_model,source_records,score_path
cosine_similarity,no_prefix,64,54.862621,502,-15.990982756051494,-16.435047593799244,-24.123443154842587,-5.1963565374171425,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,no_prefix,128,59.855769,208,-32.474795198556897,-34.091639887685673,-42.84934173024115,-13.73416108864121,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,nonmember_prefix,32,70.573407,760,1.0104934157559324,0.96281858657071429,0.72564230289813947,1.5185547489734048,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,nonmember_prefix,64,72.905192,502,1.0102820216362616,0.97849535383592912,0.83842406818079751,1.4588314161434413,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,nonmember_prefix,128,72.207840,208,1.0256098596211642,0.99905289787229101,0.92414517056591916,1.8719703363422853,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,member_nonmember_contrast,32,79.796399,760,0.058772867051447707,-0.003163460969838884,-0.29176010659061014,0.35533842128365584,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,member_nonmember_contrast,64,82.654244,502,0.035383489002949318,-0.0062710497119786851,-0.10567991149433308,0.24109746027105944,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
cosine_similarity,member_nonmember_contrast,128,81.120562,208,0.027107209967910016,-0.0035720727173277765,-0.076796410304801055,0.760367478338418,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,no_prefix,32,58.752770,760,-50.986348243300263,-54.501732360750594,-86.767405610989783,-18.351635850201056,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,no_prefix,64,55.399121,502,-101.2144353779819,-105.08474924882447,-166.32615699198601,-27.205110314110296,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,no_prefix,128,61.991494,208,-203.77745145496962,-217.73203416402632,-287.26360021477706,-72.545247855810345,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,nonmember_prefix,32,75.466066,760,1.0130143353014653,0.94288553907431238,0.70365385685375859,1.6092775361877356,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,nonmember_prefix,64,77.186076,502,1.0140394029761306,0.96822085611757436,0.83657718225560207,1.4473555818589259,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,nonmember_prefix,128,76.164941,208,1.0297232036068564,0.99444754269448721,0.91434311709340754,1.8703757551144597,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,member_nonmember_contrast,32,84.781856,760,0.069657549632480956,-0.022730479695993872,-0.29103968970799599,0.40793423857897998,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length32/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,member_nonmember_contrast,64,86.481167,502,0.040567808354348221,-0.021511382419878364,-0.12673632396953755,0.2763316376592479,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length64/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
semantic_kernel,member_nonmember_contrast,128,84.670858,208,0.033818117055773117,-0.0079190633438092697,-0.10503011896458654,0.74611984566052791,EleutherAI/pythia-6.9b,7,100,0.2,1.0,1e-08,sentence-transformers/all-MiniLM-L6-v2,simmia_out/WikiMIA/WikiMIA_length128/pythia-6.9b/7/records.jsonl,scripts_output_rebuttal/estimator_prefix_cross/wikimia_pythia69b_estimator_prefix_cross_scores.csv
